Local time,Open,High,Low,Close,Volume
04.10.2021 22:00:00.000 GMT-0700,1.26199,1.26304,1.25888,1.25937,19158.2796
05.10.2021 02:00:00.000 GMT-0700,1.25931,1.26065,1.25820,1.25924,16486.6199
05.10.2021 06:00:00.000 GMT-0700,1.25924,1.26023,1.25461,1.25766,30730.739700000002
05.10.2021 10:00:00.000 GMT-0700,1.25767,1.25861,1.25701,1.25823,12622.4601
05.10.2021 14:00:00.000 GMT-0700,1.25823,1.25920,1.25786,1.25866,5224.65
05.10.2021 18:00:00.000 GMT-0700,1.25864,1.26149,1.25821,1.26053,13735.310099999999
05.10.2021 22:00:00.000 GMT-0700,1.26051,1.26470,1.25920,1.26360,24293.7803
06.10.2021 02:00:00.000 GMT-0700,1.26361,1.26485,1.26069,1.26241,24262.819799999997
06.10.2021 06:00:00.000 GMT-0700,1.26238,1.26460,1.26062,1.26182,40137.65089999999
06.10.2021 10:00:00.000 GMT-0700,1.26183,1.26183,1.25845,1.25933,18154.5899
06.10.2021 14:00:00.000 GMT-0700,1.25941,1.25968,1.25726,1.25811,6298.2901
06.10.2021 18:00:00.000 GMT-0700,1.25812,1.25925,1.25752,1.25885,8514.98
06.10.2021 22:00:00.000 GMT-0700,1.25883,1.26003,1.25644,1.25883,18028.1699
07.10.2021 02:00:00.000 GMT-0700,1.25886,1.25910,1.25709,1.25792,15827.6001
07.10.2021 06:00:00.000 GMT-0700,1.25791,1.25948,1.25409,1.25580,30296.6103
07.10.2021 10:00:00.000 GMT-0700,1.25580,1.25653,1.25416,1.25534,13487.3499
07.10.2021 14:00:00.000 GMT-0700,1.25534,1.25632,1.25455,1.25457,5975.610000000001
07.10.2021 18:00:00.000 GMT-0700,1.25458,1.25588,1.25338,1.25576,9909.3801
07.10.2021 22:00:00.000 GMT-0700,1.25576,1.25597,1.25436,1.25467,16061.4102
08.10.2021 02:00:00.000 GMT-0700,1.25467,1.25492,1.24906,1.25015,18832.379399999998
08.10.2021 06:00:00.000 GMT-0700,1.25013,1.25198,1.24523,1.24773,36947.42
08.10.2021 10:00:00.000 GMT-0700,1.24773,1.24848,1.24585,1.24752,10352.920000000002
08.10.2021 14:00:00.000 GMT-0700,1.24752,1.24752,1.24752,1.24752,0
08.10.2021 18:00:00.000 GMT-0700,1.24752,1.24752,1.24752,1.24752,0
08.10.2021 22:00:00.000 GMT-0700,1.24752,1.24752,1.24752,1.24752,0
09.10.2021 02:00:00.000 GMT-0700,1.24752,1.24752,1.24752,1.24752,0
09.10.2021 06:00:00.000 GMT-0700,1.24752,1.24752,1.24752,1.24752,0
09.10.2021 10:00:00.000 GMT-0700,1.24752,1.24752,1.24752,1.24752,0
09.10.2021 14:00:00.000 GMT-0700,1.24752,1.24752,1.24752,1.24752,0
09.10.2021 18:00:00.000 GMT-0700,1.24752,1.24752,1.24752,1.24752,0
09.10.2021 22:00:00.000 GMT-0700,1.24752,1.24752,1.24752,1.24752,0
10.10.2021 02:00:00.000 GMT-0700,1.24752,1.24752,1.24752,1.24752,0
10.10.2021 06:00:00.000 GMT-0700,1.24752,1.24752,1.24752,1.24752,0
10.10.2021 10:00:00.000 GMT-0700,1.24752,1.24752,1.24752,1.24752,0
10.10.2021 14:00:00.000 GMT-0700,1.24826,1.24875,1.24630,1.24689,5064.0501
10.10.2021 18:00:00.000 GMT-0700,1.24686,1.24713,1.24510,1.24616,7167.8501
10.10.2021 22:00:00.000 GMT-0700,1.24618,1.24675,1.24468,1.24496,13920.049899999998
11.10.2021 02:00:00.000 GMT-0700,1.24495,1.24752,1.24494,1.24688,14011.730199999998
11.10.2021 06:00:00.000 GMT-0700,1.24685,1.24761,1.24496,1.24667,19084.5101
11.10.2021 10:00:00.000 GMT-0700,1.24668,1.24927,1.24666,1.24871,13283.620299999999
11.10.2021 14:00:00.000 GMT-0700,1.24861,1.24969,1.24763,1.24960,4955.909900000001
11.10.2021 18:00:00.000 GMT-0700,1.24958,1.24993,1.24832,1.24868,6475.9999
11.10.2021 22:00:00.000 GMT-0700,1.24867,1.24907,1.24615,1.24666,14068.4199
12.10.2021 02:00:00.000 GMT-0700,1.24664,1.24865,1.24516,1.24764,16161.5203
12.10.2021 06:00:00.000 GMT-0700,1.24762,1.24833,1.24349,1.24588,30510.4801
12.10.2021 10:00:00.000 GMT-0700,1.24587,1.24731,1.24525,1.24675,12210.839999999998
12.10.2021 14:00:00.000 GMT-0700,1.24675,1.24796,1.24607,1.24666,4357.17
